Depth,0U1,1U1,2U1,3U1,4U1,5U1,6U1,7U1,8U1,9U1,10U1,11U1,12U1,13U1,14U1,15U1,16U1,17U1,18U1,19U1,20U1,21U1,22U1,23U1,24U1,25U1,26U1,27U1,28U1,29U1,30U1,31U1,32U1,33U1,34U1,35U1,36U1,37U1,38U1,39U1,40U1,41U1,42U1,43U1,44U1,45U1,46U1,47U1,48U1,49U1,50U1,51U1,52U1,53U1,54U1,55U1,56U1,57U1,58U1,59U1,60U1,61U1,62U1,63U1,64U1,65U1,66U1,67U1,68U1,69U1,70U1,71U1,72U1,73U1,74U1,75U1,76U1,77U1,78U1,79U1,80U1,81U1,82U1,83U1,84U1
4.4,2.48E-16,-2.74E-06,5.68E-09,1.42E-06,1.04E-05,2.62E-05,5.96E-05,0.000105452,0.000176399,0.000278027,0.000423722,0.000624122,0.000869844,0.001155805,0.001469825,0.00181737,0.002204791,0.002621556,0.003077892,0.003570485,0.004125778,0.004733083,0.005343293,0.005975535,0.006599028,0.007249586,0.007900749,0.008582121,0.009281583,0.009979078,0.010704385,0.011424557,0.012144435,0.012839122,0.013521336,0.014142466,0.014739158,0.015279059,0.015772995,0.01619866,0.016594817,0.016955524,0.017284782,0.017597575,0.017863482,0.018124425,0.018349504,0.01857309,0.018740847,0.018911104,0.019052504,0.01918839,0.019323326,0.019441355,0.019544326,0.019655519,0.019743397,0.019825905,0.019896912,0.019956055,0.020017483,0.020072619,0.020123098,0.020172347,0.020220398,0.020256926,0.020303505,0.020329005,0.020359955,0.020387376,0.020406969,0.020423647,0.020433883,0.020436547,0.02044389,0.020452076,0.02044869,0.020453597,0.020447297,0.020449697,0.020454433,0.020453905,0.020450176,0.020456162,0.02045284
4.6,2.48E-16,-3.25E-06,-1.58E-06,-1.75E-06,3.12E-06,1.46E-05,3.94E-05,7.56E-05,0.000131654,0.000216155,0.000339525,0.000513771,0.00073679,0.001000037,0.001293824,0.001620798,0.001987345,0.002386929,0.002823526,0.003305802,0.003857694,0.004464074,0.005090968,0.005735316,0.006385717,0.00704248,0.007734957,0.008435409,0.009167397,0.009884734,0.010622985,0.011365703,0.012118403,0.012851143,0.013556622,0.014230347,0.01486299,0.015450287,0.015980512,0.016437891,0.016863545,0.017249095,0.017605606,0.017936038,0.018222863,0.018495889,0.018739214,0.018969957,0.019150846,0.019328014,0.019474975,0.019619567,0.019757014,0.019881814,0.019986507,0.02010166,0.020191164,0.020276321,0.0203486,0.020408575,0.020470821,0.020526328,0.020578046,0.020626718,0.020675811,0.020711943,0.020758628,0.020783925,0.020815093,0.020842007,0.020861918,0.020878268,0.020888225,0.020891121,0.020898378,0.020906568,0.020902946,0.020907907,0.020901607,0.020904332,0.020908668,0.020908732,0.020904807,0.020910639,0.020907453
4.8,2.48E-16,-3.60E-06,-2.65E-06,-4.20E-06,-2.14E-06,5.42E-06,2.35E-05,5.12E-05,9.49E-05,0.000164056,0.000266659,0.000416042,0.00061317,0.000853525,0.001126805,0.001430517,0.001777793,0.00215345,0.00257191,0.003035074,0.003577781,0.004178976,0.004803572,0.005459968,0.006127167,0.006804837,0.007511306,0.008237845,0.008996419,0.009759463,0.010534699,0.011295557,0.012062956,0.012840586,0.013583429,0.014293643,0.014971858,0.015606673,0.016178016,0.016673387,0.017132631,0.017548288,0.017934988,0.018289017,0.018599774,0.018889989,0.019151732,0.01939636,0.019589075,0.019776732,0.019932318,0.020085018,0.020229403,0.020360446,0.020469789,0.020589532,0.020682361,0.020771161,0.020845275,0.020907447,0.020970661,0.021027618,0.021080661,0.021129547,0.021179932,0.021216232,0.021263175,0.021288532,0.021319775,0.021346647,0.021366804,0.021383089,0.021392832,0.021396061,0.021403218,0.021411332,0.021407689,0.021412718,0.021406475,0.021409518,0.021413432,0.021413861,0.021409904,0.021415718,0.021412375
5,2.48E-16,-3.86E-06,-3.28E-06,-6.23E-06,-5.56E-06,-2.19E-06,1.20E-05,3.05E-05,6.60E-05,0.00011998,0.000204931,0.000331284,0.000499782,0.000719811,0.000966245,0.001253309,0.001572566,0.001930647,0.002322186,0.002767016,0.003291747,0.003880617,0.004498531,0.005154442,0.005827523,0.006526716,0.00724538,0.007986048,0.00876169,0.009565866,0.010400284,0.011208627,0.01201016,0.012790838,0.013592036,0.014334175,0.015062323,0.015739627,0.016360353,0.016895228,0.017393475,0.01784929,0.01826199,0.018653138,0.01898263,0.019303063,0.019579735,0.019844135,0.020050125,0.02024986,0.020417211,0.020578557,0.020733572,0.020869007,0.02098824,0.021110022,0.021210161,0.021301222,0.021379447,0.021443344,0.021508669,0.02156784,0.021622165,0.021672615,0.021723658,0.021761744,0.021808622,0.021834983,0.021866347,0.021893347,0.021914129,0.021930183,0.021940437,0.021943487,0.021951037,0.02195879,0.021955433,0.021960565,0.021954365,0.021957637,0.021961094,0.021962072,0.021957965,0.02196404,0.021960265
5.2,2.48E-16,-3.81E-06,-3.89E-06,-6.92E-06,-9.15E-06,-6.42E-06,1.26E-06,1.72E-05,4.09E-05,8.59E-05,0.000153134,0.000257442,0.000403774,0.000591162,0.000823518,0.001079134,0.001384884,0.001710812,0.002085694,0.002501347,0.003007328,0.003574704,0.004178229,0.004826119,0.005500637,0.006199682,0.006942857,0.007687943,0.00846938,0.009297187,0.010175399,0.011068378,0.01191445,0.012752671,0.013542464,0.014358464,0.015111543,0.015849622,0.016511922,0.017093772,0.017638258,0.01812873,0.01859108,0.019000815,0.019375966,0.019711273,0.020020523,0.020301152,0.02052448,0.02074033,0.020917388,0.021094759,0.02125438,0.021404659,0.021526466,0.021659873,0.021761688,0.021860723,0.021940481,0.022008916,0.022076566,0.022137709,0.022195266,0.022245573,0.022300059,0.022337831,0.022387038,0.022413195,0.022445438,0.022472831,0.022493795,0.022510831,0.022520374,0.022524702,0.022531524,0.022540024,0.022536452,0.022542024,0.022535981,0.022538909,0.022542581,0.022543488,0.022539895,0.022545802,0.022541959
5.4,2.48E-16,-3.96E-06,-3.92E-06,-8.42E-06,-9.99E-06,-1.18E-05,-4.04E-06,2.37E-06,2.42E-05,5.53E-05,0.000110781,0.000197002,0.000314873,0.000484133,0.000681132,0.000927889,0.001196817,0.001511568,0.001851884,0.00224884,0.002726817,0.003268981,0.003851424,0.004481192,0.005146019,0.005847792,0.006584134,0.0073537,0.008130688,0.008960606,0.009871774,0.01080569,0.011766222,0.012645829,0.013509307,0.014316477,0.015142915,0.015907922,0.016627831,0.017259018,0.017844211,0.018392648,0.018881442,0.01935044,0.019738786,0.02012738,0.020447088,0.020763528,0.021001732,0.021232071,0.021429779,0.021614215,0.021793783,0.021945904,0.022086348,0.022219798,0.022334548,0.022435602,0.022522334,0.022593016,0.022664241,0.022729391,0.022788159,0.022842434,0.022896606,0.022938281,0.02298712,0.023015342,0.023048109,0.023075699,0.023098384,0.023114356,0.023125699,0.023128892,0.023137267,0.023144906,0.023142188,0.023147799,0.023141709,0.023144956,0.023147952,0.023150002,0.023145709,0.023152313,0.023147799
5.6,2.48E-16,-3.67E-06,-4.30E-06,-7.95E-06,-0.000012748,-1.26E-05,-1.18E-05,-2.85E-06,6.90E-06,3.52E-05,7.57E-05,0.000144332,0.000247295,0.000379637,0.000565871,0.000772599,0.00103691,0.00131124,0.00164039,0.00200276,0.0024561,0.00297157,0.0035223,0.00413527,0.00477717,0.00546693,0.00620366,0.00696725,0.00776182,0.00858961,0.00949126,0.0104826,0.0114749,0.012493,0.0133897,0.0142944,0.015108,0.0159582,0.0167054,0.0173856,0.0180323,0.0186137,0.0191733,0.0196606,0.0201169,0.0205172,0.0208885,0.0212232,0.0214856,0.0217402,0.0219475,0.0221605,0.0223414,0.0225195,0.0226596,0.0228128,0.0229291,0.0230416,0.023132,0.0232084,0.0232845,0.0233521,0.0234166,0.0234706,0.0235306,0.0235711,0.0236248,0.0236521,0.0236866,0.0237155,0.0237378,0.0237559,0.0237657,0.0237716,0.0237785,0.0237878,0.0237845,0.0237907,0.023785,0.0237877,0.0237913,0.0237929,0.0237895,0.0237952,0.0237914
5.8,2.48E-16,-3.75E-06,-4.04E-06,-9.03E-06,-1.22E-05,-1.63E-05,-1.32E-05,-1.32E-05,-1.45E-06,1.48E-05,4.88E-05,0.000104373,0.000182773,0.000303432,0.000447622,0.000649356,0.000872369,0.001140023,0.001431703,0.001776022,0.00219992,0.002679605,0.003207034,0.003781735,0.004408119,0.005073687,0.005791336,0.006553185,0.007343577,0.008182216,0.00908749,0.010049636,0.011115735,0.012164974,0.01321761,0.014158843,0.0150701,0.015927481,0.016752421,0.017475262,0.018155767,0.018811674,0.019397166,0.019962502,0.020436832,0.02090549,0.021292534,0.021678063,0.021959543,0.022233676,0.022472236,0.02269227,0.022904337,0.023083328,0.02325202,0.023405103,0.023541067,0.023657889,0.023757064,0.023839122,0.023919318,0.023994247,0.024060744,0.024121715,0.024181394,0.024228133,0.02428214,0.024312587,0.024348223,0.02437839,0.024403048,0.024419669,0.024432655,0.024436941,0.024446226,0.024454283,0.024452398,0.024458151,0.024452737,0.024456262,0.02445868,0.024461551,0.024457101,0.024463862,0.024459269
6,2.48E-16,-3.44E-06,-4.15E-06,-8.41E-06,-1.36E-05,-1.61E-05,-1.76E-05,-1.53E-05,-1.18E-05,3.18E-06,2.66E-05,6.98E-05,0.000136895,0.000228603,0.000360496,0.000521521,0.000736842,0.000968692,0.001247088,0.001559619,0.001955402,0.002408773,0.002894105,0.00344607,0.004031293,0.004678399,0.00537054,0.006114072,0.006896942,0.007738688,0.008645677,0.00960558,0.010640252,0.011766559,0.01287403,0.013958194,0.014928758,0.015863629,0.016726436,0.017512579,0.01825,0.018936178,0.019596585,0.020192313,0.020741399,0.021235577,0.021682177,0.022095284,0.02241147,0.02271362,0.022968712,0.023222541,0.023442634,0.023651062,0.023823969,0.024000384,0.024142562,0.024272534,0.024379498,0.024468191,0.024557012,0.024635648,0.024710212,0.024772405,0.024839083,0.024886348,0.024946119,0.024977148,0.025015005,0.025047619,0.025072712,0.025091626,0.025103705,0.025110648,0.025118833,0.025128669,0.025126433,0.025132548,0.025127869,0.025131005,0.025134126,0.02513629,0.025132812,0.025138733,0.025134776
6.2,2.48E-16,-3.36E-06,-3.90E-06,-8.73E-06,-1.31E-05,-1.77E-05,-1.82E-05,-2.07E-05,-1.67E-05,-8.86E-06,9.71E-06,4.35E-05,9.40E-05,0.000173676,0.000275904,0.000420736,0.00060216,0.000820665,0.001068961,0.001360624,0.001728287,0.002145498,0.002605565,0.003113357,0.003672936,0.004280818,0.004946809,0.005665705,0.006427933,0.007264017,0.008178046,0.009124209,0.010148097,0.011247558,0.012440119,0.01360172,0.014709601,0.015717535,0.016650691,0.017488197,0.01828325,0.019033721,0.019728937,0.02039468,0.020986079,0.021543718,0.022028602,0.022492388,0.022839537,0.023170836,0.023459151,0.023730346,0.023981586,0.024200756,0.024401074,0.024585452,0.024748613,0.024886516,0.025003634,0.02510137,0.025195902,0.025283719,0.025362305,0.025431716,0.025501008,0.025554273,0.025616401,0.025650944,0.025690869,0.025725201,0.025753137,0.025771955,0.025786451,0.025792765,0.02580263,0.025812094,0.025810905,0.025816897,0.025812554,0.025816265,0.025818944,0.025821865,0.025818072,0.025824594,0.025820079
